tau,predictors,coefficients,SEs,pvalues
0.05,Intercept,0.2037314791728489,0.008608007288887406,7.764500886255965e-124
0.05,Age,6.561409406769962e-07,0.00017523531027262932,0.9970124542698977
0.05,Score,-1.1875912800212924e-05,6.0474298367779584e-05,0.8443131362943153
0.1,Intercept,0.2804183100219302,0.01126490362281451,8.838282925424093e-137
0.1,Age,8.033192225390698e-05,0.00017533955024623215,0.6468442393406935
0.1,Score,3.5319425588098584e-06,7.32778645264188e-05,0.9615573995426888
0.25,Intercept,0.46824671161630116,0.011362894893927576,0.0
0.25,Age,0.0001923840956951398,0.0001685389686958106,0.25366965342154757
0.25,Score,-1.0501567763873704e-06,8.418293743295739e-05,0.9900468886903907
0.5,Intercept,0.6957805440077816,0.009533509297986359,0.0
0.5,Age,1.08865691155114e-05,0.00014645060122197337,0.9407429388278712
0.5,Score,5.136511775738688e-06,6.373890700814168e-05,0.9357705987655737
0.75,Intercept,0.8229527509762046,0.004803084930355079,0.0
0.75,Age,4.9069854513758825e-05,7.792991484638374e-05,0.5289128234289335
0.75,Score,3.9936463143420945e-05,3.1780496924273916e-05,0.20888608124283203
0.9,Intercept,0.8888435517081686,0.004561206390641205,0.0
0.9,Age,5.895034837913183e-05,7.913008145452807e-05,0.4562836555092866
0.9,Score,-4.643363706698863e-08,2.9745669030636708e-05,0.9987544853325409
