tau,predictors,coefficients,SEs,pvalues
0.05,Intercept,0.20374469819796817,0.008599754889724505,4.368126457937995e-124
0.05,Age,3.746442467566637e-07,0.00017503499306461786,0.9982922121639517
0.05,Score,-1.19163501029629e-05,6.031256919907771e-05,0.843376373654354
0.1,Intercept,0.28043090013193767,0.011267294588378541,9.805375797918057e-137
0.1,Age,8.060396664593678e-05,0.0001753189674297171,0.6456912891242658
0.1,Score,3.372877017989045e-06,7.326964374015807e-05,0.963283343760912
0.25,Intercept,0.46824707952873734,0.011363433618068693,0.0
0.25,Age,0.0001919629419994393,0.00016867839998375292,0.25510334520386535
0.25,Score,-9.536453703153562e-07,8.420770053943485e-05,0.9909642152891007
0.5,Intercept,0.6958276235368861,0.009534634045788092,0.0
0.5,Age,1.1186086136265719e-05,0.0001464015781227759,0.9390954052634898
0.5,Score,4.669513822503949e-06,6.374716977915357e-05,0.9416067590971062
0.75,Intercept,0.8229520156859521,0.004803456475052213,0.0
0.75,Age,4.9243811743391244e-05,7.798301392460628e-05,0.5277342819489397
0.75,Score,3.989990510379629e-05,3.1786886760135025e-05,0.20939469299611002
0.9,Intercept,0.8888604007586718,0.004561985012092839,0.0
0.9,Age,5.8367122387777164e-05,7.911218311173951e-05,0.46065017740585423
0.9,Score,-2.6326726681740447e-08,2.9761513057727225e-05,0.9992941996606286
